sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Fazenda Vitoria,-2.983,-47.533,4.0,0,2GRAM,,biomass_ag_C,Paragominas,Para,Brazil,Latosol,South America,Neotropics,Tropical rainforest
Fazenda Vitoria,-2.983,-47.533,3.0,0,2GRAM,,biomass_ag_C,Paragominas,Para,Brazil,Latosol,South America,Neotropics,Tropical rainforest
Flakaliden C,64.12,19.45,3.93,27,2TEN,Picea abies,biomass_ag_C,NAC,Vasterbotten,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Flakaliden C,64.12,19.45,17.7,38,2TEN,Picea abies,biomass_ag_C,NAC,Vasterbotten,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Tapajos km 67,-2.85,-54.967,145.0,999,2TEB,,biomass_ag_C,Santarem,Para,Brazil,Oxisol,South America,Neotropics,Tropical rainforest
Tapajos km 67,-2.85,-54.967,143.7,999,2TEB,,biomass_ag_C,Santarem,Para,Brazil,Oxisol,South America,Neotropics,Tropical rainforest
FLONA Tapajos Km 83,-3.0103,-54.5815,156.0,999,2TEB,,biomass_ag_C,Santarem,Para,Brazil,Oxisol,South America,Neotropics,Tropical rainforest
Frazer old,39.9,-105.87,78.97,245,2TEN,,biomass_ag_C,NAC,Colorado,United States of America,NAC,North America,Nearctic,Temperate mountain system
Frazer young,39.9,-105.87,57.29,39,2TEN,,biomass_ag_C,NAC,Colorado,United States of America,NAC,North America,Nearctic,Temperate mountain system
"French Creek State Park, Mount Pleasure",40.196193,-75.781048,78.8,157,2TDB,,biomass_ag_C,NAC,Pennsylvania,United States of America,NAC,North America,Nearctic,Temperate continental forest
French Guiana,4.75,-53.0,155.0,999,2TEB,,biomass_ag_C,NAC,Guyane,French Guiana,NAC,South America,Neotropics,Tropical rainforest
Fuchu,34.4,132.516667,76.95,80,2TEN,,biomass_ag_C,NAC,Hiroshima,Japan,NAC,Asia,Palearctic,Subtropical humid forest
Fuchu,34.4,132.516667,0.0,0,2TEN,,biomass_ag_C,NAC,Hiroshima,Japan,NAC,Asia,Palearctic,Subtropical humid forest
Fuhai,47.8,88.7,71.9,107,2TDN,,biomass_ag_C,Fuhai,Xinjiang,China,NAC,Asia,Palearctic,Temperate mountain system
Fukeshan,52.7,122.0,49.1,93,2TEN,,biomass_ag_C,Mohe,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Fusong,42.47,127.63,131.0,250,2TM,,biomass_ag_C,NAC,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
Fuyun 1,47.0,89.4,147.2,157,2TDN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Fuyun 2,47.1,89.3,101.6,156,2TDN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate mountain system
Fyedorovskoye,56.45,32.92,95.0,NI,2TEN,,biomass_ag_C,NAC,Tver,Russia,NAC,Europe,Palearctic,Temperate continental forest
Gainesville,29.73,-82.16,0.45,4,2TEN,Pinus elliottii,biomass_ag_C,NAC,Florida,USA,Ultic alaquods,North America,Nearctic,Subtropical humid forest
Gainesville,29.73,-82.16,22.85,10,2TEN,Pinus elliottii,biomass_ag_C,NAC,Florida,USA,Ultic alaquods,North America,Nearctic,Subtropical humid forest
Gainesville,29.73,-82.16,82.71,23,2TEN,Pinus elliottii,biomass_ag_C,NAC,Florida,USA,Ultic alaquods,North America,Nearctic,Subtropical humid forest
Gemos (Weidenbrunnen 2),50.13,11.87,139.71,110,2TEN,Picea abies,biomass_ag_C,NAC,Bayern,Germany,cambic podzol,Europe,Palearctic,Temperate mountain system
Gippsland,-37.28,149.15,310.0,NI,2TEB,,biomass_ag_C,NAC,Victoria,Australia,NAC,Australia,Australasia,Temperate oceanic forest
Gongbujiangda,29.9,93.3,100.6,129,2TEN,,biomass_ag_C,Lhasa,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Gonghe,44.1,130.2,96.4,158,2TDN,,biomass_ag_C,Muling,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
Gongliu,43.4,82.2,182.7,96,2TEN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Gorakhpur_S_14,27.0,83.88,42.25,14,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_S_26,27.0,83.88,101.8,26,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_S_30,27.0,83.88,157.87,30,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_S_40,27.0,83.88,254.22,40,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_S_5,27.0,83.88,7.29,5,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_S_8,27.0,83.88,27.92,8,2TDB,Shorea robusta,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_14,27.0,83.88,74.68,14,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_26,27.0,83.88,124.83,26,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_30,27.0,83.88,141.89,30,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_40,27.0,83.88,284.59,40,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_5,27.0,83.88,23.31,5,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Gorakhpur_T_8,27.0,83.88,47.38,8,2TDB,Tectona grandis,biomass_ag_C,NAC,Uttar Pradesh,India,NAC,Asia,IndoMalay,Tropical dry forest
Grants Pass 1,42.4875,-123.2612,22.43,48,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Grants Pass 2,42.4778,-123.2612,79.89,22,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Grants Pass 3,42.4918,-123.2745,93.76,60,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Grants Pass 4,42.4789,-123.3002,230.25,72,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Grants Pass 5,42.4723,-123.2642,161.67,64,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Grants Pass 6,42.4725,-123.2665,396.55,307,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Great Smoky Mt.,35.67,-83.38,199.0,NI,2TDB,,biomass_ag_C,NAC,Tennessee,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Green Ridge S.F., Roby Ridge 1",39.598132,-78.441066,89.2,232,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Green Ridge S.F., Tunnel Hill",39.558133,-78.452574,115.8,163,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Green Ridge State Forest, Jacob's Road",39.603565,-78.500392,131.5,110,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate mountain system
Gribskov,55.96,12.25,158.6,118,2TDB,,biomass_ag_C,NAC,Hovedstaden,Denmark,NAC,Europe,Palearctic,Temperate oceanic forest
Gunpowder Falls State Park,39.423473,-76.434603,202.1,170,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate continental forest
Gushan,26.0,119.3,88.5,102,2TEN,,biomass_ag_C,Fuzhou,Fujian,China,NAC,Asia,IndoMalay,Subtropical humid forest
Guyaflux,5.28,-52.91,218.0,999,2TEB,,biomass_ag_C,NAC,Guyane,French Guiana,NAC,South America,Neotropics,Tropical rainforest
Guyaflux,5.28,-52.91,218.75,999,2TEB,,biomass_ag_C,NAC,Guyane,French Guiana,NAC,South America,Neotropics,Tropical rainforest
Hainich,51.0792,10.453,204.76,255,2TDB,,biomass_ag_C,NAC,Thuringen,Germany,Cambisol,Europe,Palearctic,Temperate oceanic forest
Hami,42.8,93.1,116.8,139,2TDN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Hanjiayuan,51.7,126.6,38.8,84,2TEN,,biomass_ag_C,Huma,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Harwood CarboAge Chronosequence,55.166667,-2.05,99.38,21,2TEN,,biomass_ag_C,NAC,Northumberland,United Kingdom,NAC,Europe,Palearctic,Temperate oceanic forest
Harwood CarboAge Chronosequence,55.166667,-2.05,141.61,30,2TEN,,biomass_ag_C,NAC,Northumberland,United Kingdom,NAC,Europe,Palearctic,Temperate oceanic forest
Harwood CarboAge Chronosequence,55.166667,-2.05,20.71,7,2TEN,,biomass_ag_C,NAC,Northumberland,United Kingdom,NAC,Europe,Palearctic,Temperate oceanic forest
Harwood CarboAge Chronosequence,55.166667,-2.05,7.6,2,2TEN,,biomass_ag_C,NAC,Northumberland,United Kingdom,NAC,Europe,Palearctic,Temperate oceanic forest
"Heihe Picea, Abies 1",33.55,104.55,127.2,143,2TEN,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 2",33.57,104.66,96.6,156,2TEN,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 3",33.67,104.04,117.9,162,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 4",33.65,104.05,122.8,171,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 5",33.68,104.03,105.8,169,2TEN,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 6",33.6,104.41,80.0,121,2TEN,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Heihe Picea, Abies 7",33.63,104.05,88.9,121,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Heishui,32.0,102.9,143.6,166,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Hellion Rapids 1,44.399,-123.7799,27.48,9,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Hellion Rapids 2,44.4465,-123.8595,97.76,31,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Hellion Rapids 3,44.4213,-123.7759,111.21,24,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Hellion Rapids 4,44.4758,-123.8605,237.82,85,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Hellion Rapids 5,44.3983,-123.7938,332.64,105,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Hesse,48.67,7.07,47.61,30,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,50.81,31,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,54.95,32,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,58.07,33,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,49.48,34,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,54.12,35,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,58.69,36,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,63.96,37,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hesse,48.67,7.07,51.0,34,2TDB,,biomass_ag_C,NAC,Moselle,France,Luvisol/stagnic luvisol,Europe,Palearctic,Temperate oceanic forest
Hestehaven,56.3,10.48,103.99,85,2TDB,,biomass_ag_C,NAC,Midtjylland,Denmark,NAC,Europe,Palearctic,Temperate oceanic forest
Honghuaerji,48.26,120.04,46.0,81,2TEN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Temperate mountain system
Honghuaerji,48.26,120.04,55.3,86,2TEN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Temperate mountain system
Horner Woods Game Refuge,38.970904,-80.477063,116.7,317,2TDB,,biomass_ag_C,NAC,West Virginia,United States of America,NAC,North America,Nearctic,Temperate continental forest
Hubbard brook,44.0,-71.5,62.42,114,2TDB,,biomass_ag_C,West Thornton,New Hampshire,United States of America,NAC,North America,Nearctic,Temperate mountain system
Huitong 2,26.8,109.5,168.0,NI,2TEB,,biomass_ag_C,NAC,Hunan,China,NAC,Asia,IndoMalay,Subtropical humid forest
Huma,51.7,126.6,32.0,120,2TEN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 12,61.85,24.283,2.5,11,2TEN,Pinus sylvestris,biomass_ag_C,NAC,Pirkanmaa,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 12,61.85,24.283,2.4,10,2TEN,Pinus sylvestris,biomass_ag_C,NAC,Pirkanmaa,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 4,61.252778,24.202778,0.0,4,2TEN,,biomass_ag_C,NAC,Pirkanmaa,Finland,Podzol,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 40,61.85,24.283,59.0,40,2TEN,Pinus sylvestris,biomass_ag_C,Korkeakoski,Pirkanmaa,Finland,Haplic Podzol,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 40,61.85,24.283,47.7,39,2TEN,Pinus sylvestris,biomass_ag_C,Korkeakoski,Pirkanmaa,Finland,Haplic Podzol,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 75,61.85,24.283,67.0,77,2TEN,Pinus sylvestris,biomass_ag_C,NAC,Pirkanmaa,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Hyytiala Scots Pine Chronosequence 75,61.85,24.283,67.0,76,2TEN,Pinus sylvestris,biomass_ag_C,NAC,Pirkanmaa,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Illinois,37.52,-89.32,131.0,NI,2TDB,,biomass_ag_C,NAC,Illinois,United States of America,NAC,North America,Nearctic,Temperate continental forest
Ilomantsi 1,62.85,30.88,50.32,101,2TEN,,biomass_ag_C,NAC,North Karelia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Ilomantsi 2,62.85,30.88,16.49,45,2TEN,,biomass_ag_C,NAC,North Karelia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Ilomantsi 3,62.85,30.88,20.78,50,2TEN,,biomass_ag_C,NAC,North Karelia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Ilomantsi 4,62.85,30.88,13.56,50,2TDB,,biomass_ag_C,NAC,North Karelia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Ilomantsi Mekrijarvi,62.78,30.97,7.49,50,2TEN,,biomass_ag_C,NAC,North Karelia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Indiana,39.83,-86.18,117.0,NI,2TDB,,biomass_ag_C,NAC,Indiana,United States of America,NAC,North America,Nearctic,Temperate continental forest
Irkutsk 1,53.0,103.0,55.53,75,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Irkutsk 1,53.0,103.0,55.54,75,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Irkutsk 2,53.0,103.0,86.56,95,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Irkutsk 2,53.0,103.0,86.56,95,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Irkutsk 3,53.0,103.0,69.55,70,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Irkutsk 3,53.0,103.0,69.56,70,2TEN,,biomass_ag_C,NAC,Irkutsk,Russia,NAC,Asia,Palearctic,Boreal coniferous forest
Ispina Krakow,50.1,20.37,114.35,102,2TDB,,biomass_ag_C,NAC,Lesser Poland,Poland,NAC,Europe,Palearctic,Temperate continental forest
Ivan Frankivski 1,48.371,23.67,127.7,250,2TEN,,biomass_ag_C,NAC,Transcarpathia,Ukraine,NAC,Europe,Palearctic,Temperate mountain system
Ivan Frankivski 1,48.371,23.67,151.5,250,2TEN,,biomass_ag_C,NAC,Transcarpathia,Ukraine,NAC,Europe,Palearctic,Temperate mountain system
Ivan Frankivski 2,48.438,23.39,90.6,150,2TEN,,biomass_ag_C,NAC,Transcarpathia,Ukraine,NAC,Europe,Palearctic,Temperate continental forest
Jadraas,60.82,16.5,29.0,NI,2TEN,,biomass_ag_C,NAC,Gavleborg,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Jadraas C,60.82,16.5,6.47,20,2TEN,,biomass_ag_C,NAC,Gavleborg,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Jadraas Class I,60.82,16.5,29.92,120,2TEN,,biomass_ag_C,NAC,Gavleborg,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Jadraas Class I,60.82,16.5,5.72,20,2TEN,,biomass_ag_C,NAC,Gavleborg,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Jadraas irrigated + fertilized,60.82,16.5,31.47,123,2TEN,,biomass_ag_C,NAC,Gavleborg,Sweden,NAC,Europe,Palearctic,Boreal coniferous forest
Jarvselja,58.25,27.267,12.5,6,2TDB,,biomass_ag_C,NAC,Tartu,Estonia,Umbric Gleysol,Europe,Palearctic,Temperate continental forest
Jezeri,50.55,13.46,97.6,79,2TDB,Fagus sylvatica,biomass_ag_C,NAC,Ustecky Kraj,Czech Republic,NAC,Europe,Palearctic,Temperate mountain system
Jiagedaqi,50.4,124.0,26.1,97,2TEN,,biomass_ag_C,Elunchun,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Jiagedaqi Larix,50.4,124.0,47.0,136,2TDN,,biomass_ag_C,Elunchun,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Jianfengling 2,18.71,108.83,220.5,93,2TEB,,biomass_ag_C,NAC,Hainan,China,NAC,Asia,IndoMalay,Tropical moist forest
Jiangda 1,31.5,98.2,90.7,120,2TEN,,biomass_ag_C,Changdu,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Jiangda 2,31.4,94.3,66.4,100,2TEN,,biomass_ag_C,Changdu,Tibet,China,NAC,Asia,Palearctic,Temperate mountain system
"Jilong Cupressus, Sabina",28.9,85.2,48.5,163,2TEN,,biomass_ag_C,Rikaze,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
"Jilong Picea, Abies 1",28.9,85.2,109.6,131,2TEN,,biomass_ag_C,Rikaze,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
"Jilong Picea, Abies 2",28.9,85.2,67.5,105,2TEN,,biomass_ag_C,Rikaze,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
"Jilong Picea, Abies 3",27.9,85.9,111.1,192,2TEN,,biomass_ag_C,Rikaze,Tibet/Bagmati?,China,NAC,Asia,IndoMalay,Tropical mountain system
Jimusa'er,44.0,89.1,111.9,122,2TEN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Jingqu,29.0,101.5,100.0,134,2TB,,biomass_ag_C,Jiulong,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Jiulong,29.0,101.5,126.2,169,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Jiuzhai,33.01,104.03,80.0,171,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Juniper,44.29,-121.33,5.18,NI,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Kade,6.15,-0.92,111.73,50,2TDB,,biomass_ag_C,NAC,Eastern,Ghana,Ultisol,Africa,Afrotropics,Tropical rainforest
Kambja,58.05,27.017,19.3,13,2TDB,,biomass_ag_C,NAC,Polva,Estonia,Albeluvisol,Europe,Palearctic,Temperate continental forest
Kangasvaara,63.85,28.966667,80.068,140,2TEN,,biomass_ag_C,NAC,Kainuu,Finland,Haplic Podzols,Europe,Palearctic,Boreal coniferous forest
Kangasvaara,63.85,28.966667,81.932,140,2TEN,,biomass_ag_C,NAC,Kainuu,Finland,Haplic Podzols,Europe,Palearctic,Boreal coniferous forest
Kenia KEN01,-16.0158,-62.7301,66.2,999,2TEB,,biomass_ag_C,NAC,Santa Cruz ,Bolivia,Cambisol,South America,Neotropics,Tropical moist forest
Kenia KEN02,-16.0158,-62.7301,68.4,999,2TEB,,biomass_ag_C,NAC,Santa Cruz ,Bolivia,Cambisol,South America,Neotropics,Tropical moist forest
Kennedy,28.6,-80.7,14.22,NI,2TDB,,biomass_ag_C,NAC,Florida,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Kentucky,37.72,-83.8,165.0,NI,2TDB,,biomass_ag_C,NAC,Kentucky,United States of America,NAC,North America,Nearctic,Temperate continental forest
Koiwai,39.75,141.0,79.63,39,2TDN,Larix leptolepsis,biomass_ag_C,NAC,Iwate,Japan,NAC,Asia,Palearctic,Temperate mountain system
Kolli hill,11.2,78.3,130.6,999,NAC,,biomass_ag_C,NAC,Tamil Nadu,India,NAC,Asia,IndoMalay,Tropical shrubland
Kongalund B,55.98,13.17,152.28,48,2TDB,,biomass_ag_C,NAC,Skane,Sweden,NAC,Europe,Palearctic,Temperate oceanic forest
Kongalund S,55.98,13.17,144.76,63,2TEN,Picea abies,biomass_ag_C,NAC,Skane,Sweden,NAC,Europe,Palearctic,Temperate oceanic forest
Kooraste 1,57.983,29.67,40.4,18,2TDB,,biomass_ag_C,NAC,Pskov,Estonia,Haplic Umbrisol,Europe,Palearctic,Temperate continental forest
Kukesu,43.2,81.8,184.6,261,2TEN,,biomass_ag_C,Tekesi,Xinjiang,China,NAC,Asia,Palearctic,Temperate mountain system
Kuusamo,66.37,29.33,48.93,260,2TEN,,biomass_ag_C,NAC,Northern Ostrobothnia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
La Selva Biological Station.CARBONO project,10.423333,-84.021111,160.0,999,2TEB,,biomass_ag_C,Puerto Viejo de Sarapapiqui,Heredia,Costa Rica,Ultisol; Inceptisol,North America,Neotropics,Tropical rainforest
Lambir,4.1865,114.017,260.0,999,2TEB,,biomass_ag_C,Miri,Sarawak,Malaysia,NAC,Asia,IndoMalay,Tropical rainforest
Langarod,55.75,13.92,106.22,103,2TDB,,biomass_ag_C,NAC,Skane,Sweden,NAC,Europe,Palearctic,Temperate oceanic forest
Langdan,34.0,107.3,109.4,86,2TEN,,biomass_ag_C,Taibai,Shaanxi,China,NAC,Asia,Palearctic,Temperate mountain system
"Langxian Picea, Abies",29.0,93.1,94.7,160,2TEN,,biomass_ag_C,Shannan,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Langxian Pinus,29.0,93.1,58.6,108,2TEN,,biomass_ag_C,Shannan,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Le Bray,44.72,-0.77,70.08,34,2TEN,Pinus pinaster,biomass_ag_C,NAC,Gironde,France,Hydromorphic podzol,Europe,Palearctic,Temperate oceanic forest
Le Bray,44.72,-0.77,78.46,32,2TEN,Pinus pinaster,biomass_ag_C,NAC,Gironde,France,Hydromorphic podzol,Europe,Palearctic,Temperate oceanic forest
Lei-135+15,51.33,10.36,133.44,153,2TDB,,biomass_ag_C,NAC,Thuringen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Lei-30,51.33,10.36,40.18,30,2TDB,,biomass_ag_C,NAC,Thuringen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Lei-62,51.33,10.36,146.67,62,2TDB,,biomass_ag_C,NAC,Thuringen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Lei-T-111,51.33,10.36,200.79,111,2TDB,,biomass_ag_C,NAC,Thuringen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Leiwuqi,31.2,96.5,55.0,100,2TEN,,biomass_ag_C,Changdu,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Leizi,47.0,129.0,37.0,101,2TDN,,biomass_ag_C,Dailing,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
Lewuchuan,28.8,103.0,281.3,184,2TEN,,biomass_ag_C,Ebian,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Liangshui Larix,46.5,131.8,57.6,108,2TDN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
Yenisei 14lu,60.74467,89.43867,2.46,14,2TEN,,biomass_ag_C,Bor,Krasnoyarskiy Kray,Russia,Inceptisol,Asia,Palearctic,Boreal coniferous forest
Yenisei 28lu,60.72433,89.148,7.08,58,2TEN,,biomass_ag_C,Bor,Krasnoyarskiy Kray,Russia,Inceptisol,Asia,Palearctic,Boreal coniferous forest
Yenisei 31lu,60.72783,89.15633,11.292,31,2TEN,,biomass_ag_C,Bor,Krasnoyarskiy Kray,Russia,Inceptisol,Asia,Palearctic,Boreal coniferous forest
Yenisei 95lu,60.75767,89.41083,65.412,95,2TEN,,biomass_ag_C,Bor,Krasnoyarskiy Kray,Russia,Inceptisol,Asia,Palearctic,Boreal coniferous forest
Liebu,27.9,91.9,105.4,127,2TB,,biomass_ag_C,Cuona,"Shannan, Tibet",China,NAC,Asia,Palearctic,Subtropical mountain system
"Lijiang Picea, Abies 1",26.8,100.2,89.9,122,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Lijiang Picea, Abies 2",26.95,99.5,115.6,100,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
