sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Bonanza UP2,64.75,-148.25,79.97,77,2TDB,,biomass_ag_C,Fairbanks,Alaska,United States of America,NAC,North America,Nearctic,Boreal tundra woodland
Bonanza UP2,64.75,-148.25,76.76,77,2TDB,,biomass_ag_C,Fairbanks,Alaska,United States of America,NAC,North America,Nearctic,Boreal tundra woodland
Bonanza UP3,64.75,-148.25,71.71,130,2TEN,,biomass_ag_C,Fairbanks,Alaska,United States of America,NAC,North America,Nearctic,Boreal tundra woodland
Bonanza UP3,64.75,-148.25,68.84,130,2TEN,,biomass_ag_C,Fairbanks,Alaska,United States of America,NAC,North America,Nearctic,Boreal tundra woodland
Boqueron,9.333333,-79.833333,91.8,20,2TDB,Tectona grandis,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
Bornhoved Alder,54.1,10.23,82.0,61,2TDB,,biomass_ag_C,NAC,Schleswig-Holstein,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Bornhoved Beech,54.1,10.23,151.0,111,2TDB,,biomass_ag_C,NAC,Schleswig-Holstein,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Breitenbush Hot Springs 1,44.7824,-121.8975,5.21,14,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Breitenbush Hot Springs 2,44.8006,-121.9901,28.99,18,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Breitenbush Hot Springs 3,44.763,-121.8859,78.42,50,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Breitenbush Hot Springs 4,44.7894,-121.9945,161.55,56,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Breitenbush Hot Springs 5,44.7723,-121.9007,211.6,300,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Brindabella Range Eucalyptus pauciflora forest,-35.389722,148.803889,110.7,54,2TEB,Eucalyptus pauciflora,biomass_ag_C,Canberra,Australian Capital Territory,Australia,Red Earth (clay loam),Australia,Australasia,Temperate mountain system
Brindabella Range Eucalyptus pauciflora forest,-35.389722,148.803889,106.2,54,2TEB,Eucalyptus pauciflora,biomass_ag_C,Canberra,Australian Capital Territory,Australia,Red Earth (clay loam),Australia,Australasia,Temperate mountain system
Broad Creek Memorial Reserve,39.68525,-76.252664,112.7,283,2TEN,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate continental forest
Brookhaven,40.83,-72.9,30.85,43,2TREE,,biomass_ag_C,NAC,New York,United States of America,NAC,North America,Nearctic,Temperate continental forest
"Buchanan S.F., Sweet Root Natural Area",39.843137,-78.532878,110.1,999,2TDB,,biomass_ag_C,NAC,Pennsylvania,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cajunuma,-4.12,-79.18,53.54,999,2TEB,,biomass_ag_C,NAC,Loja,Ecuador,Alfisol,South America,Neotropics,Tropical mountain system
Caledon State Park,38.329529,-77.14784,181.3,154,2TDB,,biomass_ag_C,NAC,Virginia,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Canada - Atlantic Maritime,46.0,-66.0,87.0,NI,2TREE,,biomass_ag_C,NAC,New Brunswick,Canada,NAC,North America,Nearctic,Temperate continental forest
Canada - Boreal Plains,54.0,-115.0,113.0,NI,NAC,,biomass_ag_C,NAC,Alberta,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Canada - Eastern Boreal Shield,51.0,-82.0,67.0,NI,2TEN,,biomass_ag_C,NAC,Ontario,Canada,NAC,North America,Nearctic,Boreal tundra woodland
Canada - Hudson Plains,56.0,-94.0,34.0,NI,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Canada - Mixedwood Plains,45.0,-77.0,113.0,NI,2TDB,,biomass_ag_C,NAC,Ontario,Canada,NAC,North America,Nearctic,Temperate continental forest
